id,category_id,sort_order,name_ja,name_en,name_zh,name_ko
life-science-001,life-science,1,植物栄養学、土壌学,Plant nutrition and soil science,植物营养学、土壤学,식물영양학·토양학
life-science-002,life-science,2,応用微生物学,Applied microbiology,应用微生物学,응용미생물학
life-science-003,life-science,3,応用生物化学,Applied biochemistry,应用生物化学,응용생물화학
life-science-004,life-science,4,生物有機化学,Bioorganic chemistry,生物有机化学,생물유기화학
life-science-005,life-science,5,食品科学,Food sciences,食品科学,식품과학
life-science-006,life-science,6,応用分子細胞生物学,Applied molecular and cellular biology,应用分子细胞生物学,응용분자세포생물학
life-science-007,life-science,7,森林科学,Forest science,森林科学,산림과학
life-science-008,life-science,8,木質科学,Wood science,木材科学,목질과학
life-science-009,life-science,9,水圏生産科学,Aquatic bioproduction science,水圈生产科学,수권생산과학
life-science-010,life-science,10,水圏生命科学,Aquatic life science,水圈生命科学,수권생명과학
life-science-011,life-science,11,動物生産科学,Animal production science,动物生产科学,동물생산과학
life-science-012,life-science,12,獣医学,Veterinary medical science,兽医学,수의학
life-science-013,life-science,13,動物生命科学,Animal life science,动物生命科学,동물생명과학
life-science-014,life-science,14,実験動物学,Laboratory animal science,实验动物学,실험동물학
life-science-015,life-science,15,分子生物学,Molecular biology,分子生物学,분자생물학
life-science-016,life-science,16,構造生物化学,Structural biochemistry,结构生物化学,구조생물화학
life-science-017,life-science,17,機能生物化学,Functional biochemistry,功能生物化学,기능생물화학
life-science-018,life-science,18,生物物理学,Biophysics,生物物理学,생물물리학
life-science-019,life-science,19,ゲノム生物学,Genome biology,基因组生物学,유전체생물학
life-science-020,life-science,20,システムゲノム科学,System genome science,系统基因组科学,시스템유전체과학
life-science-021,life-science,21,細胞生物学,Cell biology,细胞生物学,세포생물학
life-science-022,life-science,22,発生生物学,Developmental biology,发育生物学,발생생물학
life-science-023,life-science,23,植物分子、生理科学,Plant molecular biology and physiology,植物分子、生理科学,식물분자·생리과학
life-science-024,life-science,24,形態、構造,Morphology and anatomical structure,形态、结构,형태·구조
